layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_2:e3,xom,Q2,659,0.05311077389984825,0.7215278472152785,True,1.120182802192104
chronos_2:e3,xom,Q3,660,0.05303030303030303,0.7902209779022098,True,1.4122182247550619
chronos_2:e3,xom,Q4,660,0.04090909090909091,0.2903709629037096,True,1.6651527180706092
chronos_2:e3,xrp,Q1,540,0.05,1.0,True,1.8983070895739766
chronos_2:e3,xrp,Q2,539,0.055658627087198514,0.6243375662433757,True,2.2956049370973552
chronos_2:e3,xrp,Q3,540,0.04259259259259259,0.44045595440455954,True,2.2141533736408645
chronos_2:e3,xrp,Q4,540,0.03888888888888889,0.2430756924307569,True,2.6899527969689947
timesfm_2_5:e3,aapl,Q1,660,0.051515151515151514,0.9301069893010699,True,1.0164868731804635
timesfm_2_5:e3,aapl,Q2,659,0.05311077389984825,0.7215278472152785,True,1.2300906512306349
timesfm_2_5:e3,aapl,Q3,660,0.05454545454545454,0.6586341365863414,True,1.3041319158717521
timesfm_2_5:e3,aapl,Q4,660,0.08181818181818182,0.0004999500049995,False,1.836185856033937
timesfm_2_5:e3,amzn,Q1,660,0.04242424242424243,0.37936206379362064,True,1.1865722447223035
timesfm_2_5:e3,amzn,Q2,659,0.06676783004552352,0.058894110588941104,True,1.4331988172253436
timesfm_2_5:e3,amzn,Q3,660,0.06515151515151515,0.09049095090490951,True,1.5741585266226963
timesfm_2_5:e3,amzn,Q4,660,0.06818181818181818,0.05019498050194981,True,1.806130873667762
